workerid,proliferate.condition,age,audio_check,ethnicity,feedback,gender,race,time,error
3747,3,30,1,Non-Hispanic,,Female,White,796.745,
3710,3,43,1,Hispanic,none,Female,White,922.572,
3756,3,22,1,Hispanic,,Male,Black/African American,498.15,
3700,3,50,1,Non-Hispanic,,Female,White,873.964,
3799,3,68,1,Non-Hispanic,,Female,White,1318.038,
3697,3,23,1,Non-Hispanic,I tried to relisten to one of the audios but it wouldn't let me. I thought I was allowed to listen as many times as I wanted.,Non-binary,White,802.323,
3726,3,35,1,Non-Hispanic,Picture guidance may help,Male,Asian,514.888,
3744,3,34,1,Non-Hispanic,,Male,White,567.357,
3713,3,28,1,Non-Hispanic,,Male,White,555.538,
3741,3,57,1,,none,Male,White,807.903,
3777,3,45,1,Non-Hispanic,The audio clues didn't work in my firefox browser. I continued because I could still answer the visual clues scenarios. And because its a psycology quiz I thought you might be testing how people responded when no audio was present on purpose. Anyways it was fun and the animations were cool!,Male,White,1132.991,
3774,3,35,1,Non-Hispanic,,Female,Asian,402.306,
3708,3,36,1,Non-Hispanic,not especially,Male,White,279.467,
3723,3,25,1,Non-Hispanic,,Male,Asian,1055.558,
3717,3,24,1,Non-Hispanic,,Female,White,952.819,
3780,3,30,1,Non-Hispanic,It was a fun experiment!,Male,White,971.401,
3729,3,42,1,Hispanic,nope,Male,White,1164.213,
3789,3,41,1,Non-Hispanic,,Male,White,727.122,
3802,3,29,1,Non-Hispanic,None at this time,Female,,1009.795,
3759,3,22,1,Non-Hispanic,,Male,White,575.888,
3768,3,18,1,Hispanic,none,Female,Black/African American,789.376,
3792,3,47,1,Non-Hispanic,no,Female,White,767.594,
3750,3,33,1,Non-Hispanic,,Male,Asian,803.856,
3738,3,51,1,Non-Hispanic,I do not.  Have a blessed day.,Male,White,1441.898,
3800,3,28,1,Non-Hispanic,Interesting and fun experiment! Never done one like this before. Thanks and have a great day! :),Female,White,715.561,
3753,3,24,1,Non-Hispanic,,Male,White,593.135,
3720,3,36,1,Non-Hispanic,,Female,White,902.814,
3735,3,36,1,Hispanic,,,White,766.312,
3732,3,37,1,Non-Hispanic,None,Female,Asian,1266.808,
3765,3,32,1,Non-Hispanic,,Female,White,446.38,
3771,3,63,1,Non-Hispanic,,Male,White,656.017,
3803,3,39,1,Non-Hispanic,no,Male,White,818.186,
3795,3,50,1,Non-Hispanic,,Female,White,904.413,
3705,1,44,1,Non-Hispanic,I enjoyed this experiment.,Female,Black/African American,346.176,
3790,1,40,1,Non-Hispanic,"No, I do not.",Male,White,961.48,
3736,1,34,1,Non-Hispanic,no,Female,Black/African American,1074.758,
3778,1,59,1,Non-Hispanic,,Female,White,848.99,
3769,1,38,1,Non-Hispanic,no,Male,Black/African American,797.657,
3784,1,27,1,Non-Hispanic,,Non-binary,White,631.719,
3797,1,31,1,Non-Hispanic,,Male,White,513.963,
3699,1,39,1,Non-Hispanic,,Female,White,1138.932,
3702,1,37,1,Non-Hispanic,,Female,White,264.301,
3787,1,46,1,Non-Hispanic,no questions,Female,White,767.463,
3724,1,30,1,Non-Hispanic,,Female,White,651.429,
3766,1,38,1,Non-Hispanic,"It was fine, I don't think that there was a difference between footsteps or something that I would be better at guessing, though. But, I did my best give good guesses.",Female,White,820.902,
3739,1,27,1,Non-Hispanic,,Female,White,720.341,
3763,1,26,1,Non-Hispanic,N/A,Female,White,764.915,
3754,1,42,1,Non-Hispanic,no,Female,White,850.249,
3801,1,44,1,Hispanic,,Female,"Hispanic, not White",1198.169,
3757,1,23,1,Non-Hispanic,,Male,Asian,601.577,
3718,1,56,1,Non-Hispanic,No,Male,White,1007.838,
3733,1,62,1,Non-Hispanic,,Female,Asian,1492.076,
3793,1,48,1,Non-Hispanic,,,Black/African American,1062.88,
3711,1,30,1,Non-Hispanic,,Female,Asian,628.102,
3696,1,78,1,Non-Hispanic,,Male,White,1178.826,
3714,1,31,1,Hispanic,None,,Asian,796.54,
3775,1,23,1,Non-Hispanic,"It was very fun and interactive, thank you for the fun study!",Male,Asian,707.201,
3727,1,40,1,Non-Hispanic,Easy to do. Thanks.,Male,White,948.059,
3781,1,31,1,Non-Hispanic,interesting study. At times it was hard to determine which person did what. I honestly tried my best.,Female,Asian,957.638,
3721,1,56,1,Non-Hispanic,Interesting,Male,White,793.662,
3751,1,28,1,,,Male,Black/African American,827.576,
3772,1,28,1,Hispanic,"This was fun!  I like the sprite work too, it reminds me of Pokemon.  Also I might've just been a bit stupid but the comprehension questions were a little confusing.  Think that might just be a me problem though.",Non-binary,White,1612.03,
3742,1,47,1,Non-Hispanic,,Female,White,1179.837,
3745,1,47,1,Non-Hispanic,Jesus died for our sins because He loves us.,Female,White,555.837,
3748,1,23,1,Non-Hispanic,"The pixel characters were cute! It was fun seeing the differences between the final and initial scene, and listening for the doors depending on the scenario.",Male,White,607.019,
3730,1,43,1,Non-Hispanic,I enjoyed completing the experiment,Female,White,864.86,
3767,2,33,1,Hispanic,,Male,White,1011.675,
3722,2,60,1,Non-Hispanic,,Non-binary,Sephardic Jew,904.778,
3794,2,38,1,Non-Hispanic,,Male,White,708.422,
3737,2,37,1,Non-Hispanic,na,Female,White,671.114,
3743,2,34,1,Hispanic,None,Male,White,593.468,
3752,2,24,1,Non-Hispanic,,Male,Bi-racial,677.51,
3746,2,49,1,Hispanic,Nothing I can think of.,Female,White,776.874,
3791,2,48,1,Non-Hispanic,good survey,Male,Black/African American,983.141,
3725,2,42,1,Non-Hispanic,none,Female,Black/African American,1092.012,
3712,2,69,1,Non-Hispanic,,Female,White,848.058,
3758,2,35,1,Non-Hispanic,n/a,Female,White,707.817,
3740,2,42,1,Non-Hispanic,No questions. Thanks very much for the opportunity to participate in this engaging task. I welcome the chance to take part in subsequent studies. Best of luck with your research!,Female,Black/African American,697.214,
3776,2,50,1,Non-Hispanic,,Female,Black/African American,1233.371,
3695,2,63,1,Non-Hispanic,,Female,,628.531,
3749,2,41,1,Hispanic,no,Female,Black/African American,893.421,
3716,2,25,1,Non-Hispanic,,Female,White,600.848,
3782,2,57,1,Non-Hispanic,No,Male,White,862.397,
3719,2,34,1,Non-Hispanic,,Female,Black/African American,806.731,
3701,2,30,1,Hispanic,,Female,White,893.943,
3779,2,41,1,Non-Hispanic,,Female,Black/African American,1144.177,
3785,2,38,1,Non-Hispanic,interesting experiment ,Male,Black/African American,749.675,
3698,2,34,1,Non-Hispanic,,Male,Asian,456.273,
3731,2,34,1,Non-Hispanic,no,Male,White,1626.833,
3773,2,43,1,Non-Hispanic,,Male,White,603.454,
3728,2,61,1,Non-Hispanic,,Female,Asian,1071.501,
3764,2,49,1,Non-Hispanic,No,Male,White,1226.165,
3734,2,37,1,Non-Hispanic,Cool experiment!,Male,mixed,764.446,
3755,2,30,1,Non-Hispanic,,Male,White,645.205,
3770,2,24,1,Non-Hispanic,None,Female,Asian,829.707,
3761,2,43,1,Non-Hispanic,No,Male,White,677.838,
3709,2,57,1,Non-Hispanic,No,Male,White,750.585,
3788,2,29,1,Hispanic,The experiment loads the audio clips painfully slow. It was really annoying throughout the study.,Male,White,790.702,
